TextId	ActorName	ActorTalk	Cv	Desc
1	露西亚	不必那么辛苦。比起成片的专业性，我更希望照片能够成为我和指挥官最自然的见证与记录。	510000449	
2	露西亚	就算是短暂分离的时候，也可以将自己随手拍下的风景存进相册。	510000450	
3	露西亚	虽然彼时无法相见，但当看到那些照片时，我会认为你就在我的身边。	510000451	
4	露西亚	嗯，顺着时间回看这些照片的时候，就好像是又走过了一遍共同经历的路。	510000452	
5	[PlayerName]	要把“筑梦之境”的照片放在相册最开始的位置么？		
6	露西亚	工作人员说之前的照片需要经过处理，之后再加进来吧。	510000453	
7	露西亚	不过相册已经建好了，总不能空着，需要填充些什么上去。	510000454	
8	[PlayerName]	等有时间了，就去“筑梦之境”拍一些新的照片吧。		
9	露西亚	好，只要是和你在一起，我都愿意。	510000455	
10	露西亚	无论是怎样的光景，我相信它都会成为我们回忆的梦中，最美好的起点。	510000456	
11	露西亚	走吧，指挥官，我们出发，开启属于我们的——“筑梦之境”。	510000457	
12		看来我需要多学习一些上镜小技巧了。		
13		那我是不是需要多练习一下拍照技术了？		
14		听起来有点像留言板和日记？		
15		邮件里说工作人员赠送给我们一次免费体验的权限，现在就可以使用。		
16		那我们，现在就出发吧？		
