Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory66.jpg'}
2	2		401							{1: '1', 2: '36'}
3	3		401							{1: '2', 2: '1508'}
4	4		301			DialogEnable	RImgBg1Shake			{3: '在即将要被武藏追上的时候，刀光在身侧掠过，紧接着一道凌厉的斩击将武藏一分为二。'}
5	5		301							{3: '保护了自己的是——一开始被自己追击而不得不逃跑的感染体。'}
6	6		401							{1: '1', 2: '206'}
7	7		301							{3: '和最初一样，那熟悉的眼神当中寄宿着某种感情，坚定有力，不容置疑。'}
8	8		302							{1: '698', 2: '那时候的感染体……', 3: '11', 4: '你是露西亚吗？', 5: '12'}
9	9		201							{1: '1', 2: '500142'}
10	10		303							{1: '698'}
11	11		301							{1: '1', 2: '感染体？', 3: '看来，在指挥官眼里，我依然是一副感染体的模样。', 4: '1'}
12	12		301							{1: '1', 2: '感染体？', 3: '嗯，指挥官，■■接到指令。', 4: '1'}
13	13		203							{1: '1', 2: '0.25', 3: '-400'}
14	14		201							{1: '2', 2: '500002', 4: '400'}
15	15		301							{1: '1', 2: '薇拉', 3: '露西亚你不是应该已经逃得远远的了吗，为什么还会在这里出现。', 4: '2'}
16	16		301							{2: '露西亚', 3: '我只是和大家一样，前来协助指挥官脱困而已。', 4: '1'}
17	17		301							{2: '薇拉', 3: '我是问你为什么会独自行动，和其他构造体会合的话……', 4: '2'}
18	18		301							{2: '露西亚', 3: '和其他人汇合的话，就会如之前一开始一样，被当做感染体攻击了吧。', 4: '1'}
19	19		301							{2: '露西亚', 3: '就算其他人可以辨识出我的模样，但最重要的指挥官的认知受到妨害，很可能会因此发出攻击的指令。', 4: '1'}
20	20		301							{2: '露西亚', 3: '……以此来破坏我和指挥官之间的关系，从一开始你的目的，就是这个。', 4: '1'}
21	21		301							{2: '薇拉', 3: '不全是哦……但是你会这么说的话，就代表我的计划，实现了一部分了吧？', 4: '2'}
22	22		301							{2: '露西亚', 3: '并没有。', 4: '1'}
23	23		301							{2: '薇拉', 3: '开什么愚人节玩笑，现在被你保护着的那位指挥官在此之前，可是将你当作感染体进行毫不留情的攻击呢。', 4: '2'}
24	24		301							{2: '薇拉', 3: '而且刚才你也看见了，这个指挥官在最后一个问题中犹豫的样子。', 4: '2'}
25	25		301							{2: '薇拉', 3: '这样的人真的值得你如此去保护，去信任吗？', 4: '2'}
26	26		301							{2: '露西亚', 3: '最初被当做感染体，无论什么样的话语都无法向指挥官传达的时候。', 4: '1'}
27	27		301							{2: '露西亚', 3: '我的确没想过指挥官无法认出我这件事，会使我的意识海产生那么强烈的波动。', 4: '1'}
28	28		301							{2: '薇拉', 3: '那……', 4: '2'}
29	29		301							{2: '露西亚', 3: '但是，有一件事我自始至终是确认的。', 4: '1'}
30	30		301							{2: '露西亚', 3: '在指挥官的眼中我到底是什么模样都没有关系，因为我要做的事情从一开始就只有一个。', 4: '1'}
31	31		301							{2: '露西亚', 3: '那就是成为指挥官的刀刃。', 4: '1'}
32	32		301							{2: '薇拉', 3: '这家伙……！', 4: '2'}
33	33		202							{1: '1', 2: '2', 6: '1'}
34	34		201							{1: '1', 2: '500110'}
35	35		301							{1: '1', 2: '艾拉', 3: '所以接下来你要亲自上场吗。', 4: '1'}
36	36		201							{1: '1', 2: '500002'}
37	37		301							{1: '1', 2: '薇拉', 3: '等等……你们怎么可以正常行动了？', 4: '1'}
38	38		201							{1: '1', 2: '500142'}
39	39		301							{1: '1', 2: '露西亚', 3: '因为我在进入庄园之前切断了你埋设在附近的与链接舱相关联的控制装置，作为回应……愚人节快乐，薇拉。', 4: '1'}
40	40		201							{1: '1', 2: '500002'}
41	41		301							{1: '1', 2: '薇拉', 3: '啧……', 4: '1'}
42	42		201							{1: '1', 2: '1041001'}
43	43		301							{1: '1', 2: '七实', 3: '可恶，这个三头犬的恶劣家伙，你可别以为我会放过你！', 4: '1'}
44	44		201							{1: '1', 2: '1101001', 3: '5'}
45	45		301							{1: '1', 2: '渡边', 3: '即便是受到优待的小队也不能胡作妄为……等待惩处吧。', 4: '1'}
46	46		201							{1: '1', 2: '500002'}
47	47		301							{1: '1', 2: '薇拉', 3: '……只能后撤了呢。', 4: '1'}
48	48		201							{1: '1', 2: '1031001', 3: '7'}
49	49		401							{1: '4', 2: '103068'}
50	50		301			RImgBg1Shake				{1: '1', 2: '丽芙', 3: '想逃吗你这家伙！', 4: '1'}
51	51		201							{1: '1', 2: '500002'}
52	52		401							{1: '2', 2: '1503'}
53	53		301			RImgBg1Shake				{1: '1', 2: '薇拉', 3: '嗯，要逃跑的时候我很清楚地说我要逃跑，毕竟只有一个人的话可做不成什么三头犬呢。', 4: '1'}
54	54		201							{1: '1', 2: '500110'}
55	55		301							{1: '1', 2: '艾拉', 3: '这股震动是……那家伙打算引爆庄园吗？', 4: '1'}
56	56		201							{1: '1', 2: '500002'}
57	57		301		1		AniZhuanchangBegin			{1: '1', 2: '薇拉', 3: '愚人节的活动就到此为止，下次见面就是算账的时候，灰鸦，还有其他人……', 4: '1'}
