Id	GroupId	Step	Desc	ShowClueGroupId	AnswerClue	AnswerTip	NormalWrongTip	SpWrongClues	SpWrongTips	Info
21000001	21000	1	战争骑士的能力是什么？	21001	2101	在先前多次的战斗中，渡边都展现出了召唤恶魔火枪的能力。	这并非战争骑士的能力。			仔细思考问题对应的线索吧。
21000002	21000	2	渡边和钢铁军团的关系是什么？	21002	2102	之前渡边提到过，他的父亲“矛隼”曾是钢铁军团的统帅。	这不能直接表明渡边与钢铁军团的联系。			渡边能够召唤恶魔火枪。
21000003	21000	3	渡边需要力量的理由？	21003	2103	渡边需要我的力量去实现他的计划。	这不是渡边需要力量的理由。			渡边能够召唤恶魔火枪。\n渡边的父亲曾是钢铁军团的统帅。
22000001	22000	1	钢铁军团堕落的原因？	22001	2203	圣堂控制了巴拉德，从而彻底执掌了钢铁军团。	还没有证据表明，天灾也可以腐化人类。			仔细思考问题对应的线索吧。
22000002	22000	2	钢铁军团近期的活动区域是？	22002	2205	受控的钢铁军团毫无人性，在这里四处袭杀着人类。	目前还没有情报表示，军团曾出现在滚石谷。			钢铁军团被圣堂控制，堕落成了屠戮无辜的鹰犬。
22000003	22000	3	钢铁军团最有可能朝哪个方向离开？	22003	2202	很可能是圣堂为了让钢铁军团通过，才故意让天使避开这里。	钢铁军团的去向和这个无关。			钢铁军团被圣堂控制，堕落成了屠戮无辜的鹰犬。\n钢铁军团近期曾出现在谢尔曼堡。
22000004	22000	4	如何追上钢铁军团？	22004	2206	先前被营救的旅行商人愿意借给我们马车。	这个对追击钢铁军团似乎没什么帮助。	[2201]	['显然没法指望一只鸟能带着两个人走。']	钢铁军团被圣堂控制，堕落成了屠戮无辜的鹰犬。\n钢铁军团近期曾出现在谢尔曼堡。\n钢铁军团可能会穿过滚石谷前往西部。
23000001	23000	1	如今兵力不足，如何扩充队伍？	23001	2304	吸收义军武装加入，就有机会对抗钢铁军团。	似乎不能直接成为我们的战力。	[2301]	['这想法是怎么从我脑子里冒出来的？']	仔细思考问题对应的线索吧。
23000002	23000	2	为什么无法强攻圣环要塞？	23002	2306	强攻实在不是好选择，我们需要一个里应外合的计划。	这似乎对现状没有帮助。	[2302]	['听渡边说，使用圣环银弹需要充能，我们进攻时军团很难用上。']	我们需要联合义军武装，壮大队伍。
23000003	23000	3	如何潜入圣环要塞，智取城门？	23003	2303	如果能伪装成赏金猎人，或许可以光明正大地进入要塞。	这看起来不能帮助我们进入要塞。			我们需要联合义军武装，壮大队伍。\n圣环要塞现在戒备森严，我们不能强攻。
23000004	23000	4	潜入要塞后，还需要小心什么？	23004	2301	铁殇的战斗力十分强悍，需要时刻提防他。	感觉这不是必须提防的事项。	[2302]	['听渡边说，使用圣环银弹需要充能，我们进攻时军团很难用上。']	我们需要联合义军武装，壮大队伍。\n圣环要塞现在戒备森严，我们不能强攻。\n似乎可以伪装成赏金猎人，从而混进钢铁要塞。
31000001	31000	1	自己如何与死亡骑士结识？	31001	3101	在记忆中，我用工兵铲与她缔结了契约。	不，我可不是通过这个认识她的。			仔细思考问题对应的线索吧。
31000002	31000	2	死亡骑士的真实身份是？	31002	3102	她是恶魔领主，拥有死亡大君赐予的权柄。	不，这不是她的真实身份。			我用工兵铲在河滩挖出了昏迷已久的摆渡人，并将其刺入她的胸腔，与她缔结了契约。
31000003	31000	3	死亡骑士为何要与圣堂为敌？	31003	3103	听死亡骑士说，圣堂曾经夺走了她的列车。	这不是她与圣堂为敌的理由。			我用工兵铲在河滩挖出了昏迷已久的摆渡人，并将其刺入她的胸腔，与她缔结了契约。\n缔结契约前，摆渡人是地狱的恶魔领主，受赐于死亡大君。
32000001	32000	1	恶魔的起源是？	32001	3201	在转世的过程中，“堕落”的灵魂进入地狱成为了恶魔。	恶魔可不是由此而来。	[3206]	['魔鬼是魔鬼，恶魔是恶魔，这是两个不同的种族。']	仔细思考问题对应的线索吧。
32000002	32000	2	如今灵魂为何无法进入地狱？	32002	3202	死亡大君的死亡律法被隔绝于世，人世的灵魂无法正常流转。	灵魂并非被这东西阻挡才无法进入地狱。	[3204]	['审判庭恐怕最希望送别人下地狱。']	据说，在灵魂转世的过程里，生前犯下罪行的灵魂堕入地狱，成为地狱的恶魔。
32000003	32000	3	如今谁在统治地狱？	32003	3203	无法杀死彼此的恶魔领主统治着地狱，进行着永无止境的战争。	地狱真的是由此主宰吗？			据说，在灵魂转世的过程里，生前犯下罪行的灵魂堕入地狱，成为地狱的恶魔。\n死亡大君被至高天打入万魔殿中，使得生死律法隔绝于世，自此生死的流转失去了秩序，人间灵魂无法流转，只能沦为活死人。
33000001	33000	1	海妲魔女的能力是？	33001	3301	海妲魔女能使用自己的能力，将魔堡塑造成复杂多变的迷宫。	海妲魔女的能力并非如此。	[3304]	['不对，秘法门是混沌门使的能力。']	仔细思考问题对应的线索吧。
33000002	33000	2	魔女拖延时间的目的是？	33002	3302	海妲魔女试图拖延时间，等待膨胀的欧米伽卵孵化完成。	拖延时间为了这个？不太合理。	[3306]	['如果她目的真有这么单纯就好了……']	在海妲魔女能力的影响下，魔堡变成了一座复杂的迷宫，又是拥有了自己的意识一般，不断尝试着阻拦我们前进。
33000003	33000	3	欧米伽卵会孵化出什么？	33003	3303	“那卵绽放时，将洗涤地狱的污秽。未来与过去的死者，都将重获新生。”	卵应该不能孵化出这个东西。	[3301]	['圣堂这样大张旗鼓，不可能只是为了给她变出一个新的魔堡。']	在海妲魔女能力的影响下，魔堡变成了一座复杂的迷宫，又是拥有了自己的意识一般，不断尝试着阻拦我们前进。\n她之所以这么做，应该是为了拖延我们的时间，等待不断膨胀的欧米伽卵孵化。
41000001	41000	1	万事现在的身份是？	41001	4101	万事是一位瘟疫医生。	不，这不是他的真实身份。			仔细思考问题对应的线索吧。
