Id	GroupId	Name	Desc
1100001	5001	3F Military Security Area	The drone operations room in the Military Security Area is located beside the main logistics lines, making it easy to transfer and recover supplies.
1100002	5001	2F Military Security Area	Past the security corridor lies the main administrative, training, and maintenance area of the Military Security Area, complete with standard meeting rooms and weapons maintenance facilities.
1100003	5001	Olympia Art Gallery	Operated by the WGAA, this public-facing art gallery is one of Babylonia's landmarks, combining public education, exhibitions, and collection research.
1100004	5001	Babylonia Universal Cinema	Located in the heart of the commercial district, this venue combines a cinema with a media archive, and regularly hosts themed film festivals, pop-up events, and art exhibitions.
1100005	5001	Dreamglow Gardens	An open greenhouse oasis in the commercial district, offering visitors a place to rest while learning about plant cultivation.
1100006	5001	Knowledge Promenade	A public outdoor space connecting the Olympia Art Gallery and Babylonia Universal Cinema, renovated by the WGAA at the government's request and filled with artistic flair.
1100007	5001	Cross-District Juncture	A cross-district checkpoint located near the Babylonia Universal Gallery. From here, you can go to Commercial District A.
1100008	5001	Transitional Ramp Elevator	A passage linking the Military Security Area to the Commercial District. From here, you can access the Knowledge Promenade.
1100009	5001	Transitional Ramp Elevator	A passage linking the Commercial District to the Military Security Area. From here, you can access the first floor of the Military Security Area.
1100010	5001	Vera	
