Id	Name	Description	AttrType	RankType	RankWeight
1	乐园巡游	在经过一阵休整之后，貌似映画星辰乐园重新恢复了运作，快去看看情况如何吧！	1	[1]	[100]
2	闲庭信步	在中心广场上漫步至太阳升起，看着乐园从静谧转变为欢闹，仿佛是一片不被战争所侵扰的乐土。	1	[2, 3]	[80, 20]
3	碧儿雕塑	观看由艺术协会复原的莎士碧儿，这次是货真价实童叟无欺的实体雕塑，就连破烂的衣摆和伤口都被完美还原。	3	[2, 3]	[80, 20]
4	白鸽衔枝	真正的白鸽和仿生白鸽混杂在一起，前者啄食，后者衔枝，投喂前者时获得了后者衔来的橄榄枝，代表对和平的祈愿。	4	[2, 3]	[80, 20]
5	街机斗舞	在《DanceDanceGo!》里跟神秘的在线对手斗舞斗到满身大汗，但是在游戏结束之后，发现机台并没有连接对外的网络。	1	[2, 3, 4]	[70, 20, 10]
6	黄金遗作	《战场双马尾》-绝赞发售中！和萌军指挥官一起拯救这个萌力日渐消失的无趣世界吧！……不知道为什么，总觉得这个名字有些耳熟。	2	[2, 3, 4]	[70, 20, 10]
7	钢铁阵BX	某个复古游戏的现代高清重制版，在得分超过999999990的时候会进入无限1UP模式。明明追加了这么多新要素，却没修正最古老的BUG？	3	[2, 3, 4]	[50, 30, 20]
8	跳蚤市场	为了让游客体验杀价的快意而还原的黄金时代跳蚤市场，“讲价”成功后获得了各种黄金时代才有的绝版物品，其中甚至包含了……	2	[2, 3, 4]	[60, 30, 10]
9	“马天尼”	马天尼，杜松子酒，不要苦艾与伏特加，只搅拌，不明摇——在已经停止贩售酒精饮品的酒吧照着电影台词点单后，获得了一杯苹果汁。	3	[2, 3, 4]	[60, 30, 10]
10	泳装特卖	连体、高腰、荷叶边、比基尼、冲浪服……一应俱全，虽然特卖场分为了人类泳装和构造体涂装两个分区，但是更衣室是共享的。	3	[2, 3, 4]	[70, 20, 10]
11	咖啡吧	位于鲨鲨冲锋号站点附近的咖啡吧，可以凭约会套票在此兑换两杯鲨鲨特饮——其实就是海盐焦糖拿铁。	3	[3, 4, 5]	[30, 50, 20]
12	约会套票	这张特殊的套票可以解锁鲨鲨冲锋号跟摩天轮的连续无限乘坐服务，似乎可以直接通过轨道上的塔楼进入摩天轮。	4	[3, 4, 5]	[30, 50, 20]
13	鲨鲨冲锋号	名为过山车，却没有什么惊险刺激的机关。其设计目的似乎只是为了让两名乘客在乐园上空舒适地回环一圈。	2	[3, 4, 5]	[30, 50, 20]
14	白鲨出没	不知道出于何种想法在水族馆建造了惊吓屋，只有逃过了前面的大白鲨逃生真人体验区，才能抵达正常的观赏区域。	1	[3, 4, 5]	[30, 50, 20]
15	银帘翻涌	在修复完成的海底隧道中，久未见到游客的鱼群被初到的访客所吸引，在隧道的外壁附近变成一道银色的幕帘。	4	[3, 4, 5]	[30, 50, 20]
16	水母贴纸	在各个不起眼的角落，贴着一张张小小的海月水母的印花。据说集齐不同角度的海月水母的贴纸可以兑换大奖，到底是谁贴在这里的呢？	2	[3, 4, 5]	[30, 50, 20]
17	碧蓝之海	摩天轮上大大的‘Grand Blue’字样，似乎是为了提醒访客：在这里能看到最好的大海模样。	4	[3, 4, 5]	[10, 30, 60]
18	晨星之眼	乘坐了明明最大容量为六个人，却被规定为了每次只承载两个人的摩天轮包厢，抵达顶部的时候因为断电而被困将近一个小时。	2	[4, 5]	[20, 80]
19	层云之上	登上了最初是为求婚而设计的礼物形状热气球，官方宣传语：“在万米高空上向你最爱的TA求婚，如果被拒，我们提供跳伞服务。”	1	[4, 5]	[20, 80]
20	白银沙滩	漫步在银白色的海滩上，伸手从温暖的沙粒里捧起依然湿润的海螺。从这海螺之中——什么样的传说会流入耳中？	4	[4, 5]	[20, 80]
21	浪尖巡游	运气真好，此刻正是浪头翻涌之时——何不随手抄起一块乐园里随处可见的冲浪板，相逢于浪花之上？	1	[3, 4, 5]	[10, 30, 60]
22	琳琅满糖	海滩的旁边就是小食摊贩，冰淇淋、松饼、焦糖甜甜圈……刚才游泳消耗了多少卡路里，现在就要补充回多少卡路里——构造体除外。	3	[4, 5]	[20, 80]
