Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101				AniZhuanchangEnd			{1: 'Assets/Product/Texture/Image/BgStory/Bgstory119.png'}
2	2		401							{1: '1', 2: '201'}
3	3		301			DialogEnable				{3: '通过“最终测验”的第二天，赫塔便已匆匆奔赴这处实验设施。'}
4	4		306							{1: '1'}
5	5		205							{1: '999', 2: 'Assets/Product/Texture/Image/BgStory/BgStory1212.jpg', 3: '0', 4: '1', 5: '1'}
6	6		301							{3: '没有祝福的掌声，没有闲适的假期。\\n在庞大的机器面前，不会有人为一颗小螺丝钉的成长感到欣喜。'}
7	7		301							{3: '接受学院的庇护，逃离噩梦似的帕弥什病毒和感染体……\\n从格斯特里戈毕业，意味着将余下的人生全部抵押给莱博维茨。'}
8	8		301							{3: '当然，这并不算是一件坏事。格斯特里戈的所有学生，从入学开始便已经打上了公司的烙印，是属于公司的财产。'}
9	9		301							{3: '优胜劣汰是他们的命运，而顺利地通过“最终测验”，说明她至少不是被抛弃的那一批。'}
10	10		301							{2: '霍斯特', 3: '别发神了，跟紧点儿。'}
11	11		205							{1: '999', 2: 'Assets/Product/Texture/Image/BgStory/BgStory1212.jpg', 3: '1', 4: '0', 5: '1'}
12	12		306							
13	13		401							{1: '2', 2: '1513'}
14	14		301				DialogDisable			{3: '不耐烦的声音打断了她的思考。身前的男人再次加快了脚步，她不得不小跑着跟了上去。'}
15	15		401							{1: '2', 2: '2914'}
16	16		205							{1: '1002', 2: 'Assets/Product/Texture/Image/BgStory/BgStory0.png', 3: '0', 4: '0.7', 5: '1'}
17	17		304							{1: '从磁盘阵列步入计算模块，顷刻增大的风噪在耳朵里嗡嗡鸣响。', 2: 'ffffffff', 4: 'Assets/Product/Texture/Image/BgStoryFront/BgStoryFront48.png', 6: '1', 7: '-3'}
18	18		304							{1: '陈列在眼前的是巨人般高大的机架。', 2: 'ffffffff', 4: 'Assets/Product/Texture/Image/BgStoryFront/BgStoryFront48.png', 6: '1'}
19	19		304							{1: '光子回路里奔涌着突破兰道尔极限的熵流，承载着极高的运算速率，它们沉默地“思考”着。', 2: 'ffffffff', 4: 'Assets/Product/Texture/Image/BgStoryFront/BgStoryFront48.png', 6: '1'}
20	20		304							{1: '排列紧密而整齐，一行紧挨着一行，似乎永远望不到尽头。', 2: 'ffffffff', 4: 'Assets/Product/Texture/Image/BgStoryFront/BgStoryFront48.png', 6: '1', 8: '1'}
21	21		304							{1: '<b><size=50>历时性人工智能孵化引擎——第七矩阵</size></b>', 2: 'ffffffff', 4: 'Assets/Product/Texture/Image/BgStoryFront/BgStoryFront48.png', 6: '1', 7: '-5', 9: '1', 10: '1'}
22	22		205							{1: '1002', 2: 'Assets/Product/Texture/Image/BgStory/BgStory0.png', 3: '0.7', 4: '0', 5: '1'}
23	23		307							{2: '1'}
24	24		301			DialogEnable				{3: '人们为之冠名。'}
25	25		301							{3: '覆盖约两万平方米的大地，集结地域90%的能源，这便是莱博维茨位于141号城市地底的超算中心。'}
26	26		201							{1: '1', 2: '500042'}
27	27		301							{1: '1', 2: '赫塔', 3: '唔……', 4: '1'}
28	28		301							{3: '那么沿着冗长的半径走向圆心，已经有多久了？'}
29	29		301							{3: '如同永真的while循环一般，这片风景无法随脚步的前进而产生任何差异。'}
30	30		301							{3: '冰蓝色的灯光高悬于穹顶，摇摇晃晃，刺入眼球，她不自觉感到一阵目眩。'}
31	31		301							{3: '长途的跋涉和冰冷的风景让精神不住地恍惚，胃部的反酸蓦地涌上喉咙。'}
32	32		301							{2: '赫塔', 3: '霍斯特……先生……', 4: '1'}
33	33		401							{1: '2', 2: '1513'}
34	34		301							{3: '她有些吃力地呼唤前面领路的那个步履飞快的男人。'}
35	35		202							{1: '1', 6: '1'}
36	36		201							{1: '1', 2: '500050'}
37	37		301							{1: '1', 3: '对方是矩阵的研究主管，亦是负责带领她熟悉矩阵的上级。在初次打过照面后，便一直保持着冰冷的沉默。'}
38	38		301							{2: '霍斯特', 3: '……', 4: '1'}
39	39		202							{1: '1', 6: '1'}
40	40		201							{1: '1', 2: '500042'}
41	41		301							{1: '1', 2: '赫塔', 3: '我们……还有多久才到她的实验室？', 4: '1'}
42	42		401							{1: '2', 2: '1513'}
