Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory61.jpg'}
2	2		401							{1: '1', 2: '210'}
3	3		201							{1: '1', 2: '1021001', 4: '-400'}
4	4		201							{1: '2', 2: '1011001', 4: '400'}
5	5		301			DialogEnable				{1: '1', 2: '露西亚', 3: '各方面没有异常，区域内所有感染体已经全数清除。', 4: '1'}
6	6		301							{2: '里', 3: '已经发现战术终端了，但没有找到任何有关歌声的线索，会不会是丽芙听错了？', 4: '2'}
7	7		201							{1: '2', 2: '1031001', 4: '400'}
8	8		301							{1: '1', 2: '丽芙', 3: '……', 4: '2'}
9	9		301							{2: '露西亚', 3: '丽芙？', 4: '1'}
10	10		301							{2: '丽芙', 3: '歌声……是从战术终端传出来的。', 4: '2'}
11	11		202							{1: '1', 2: '2', 6: '1'}
12	12		201							{1: '1', 2: '1011001'}
13	13		301							{1: '1', 2: '里', 3: '我现在进行查看。', 4: '1'}
14	14		401							{1: '2', 2: '1509'}
15	15		201							{1: '1', 2: '500072'}
16	16		301							{1: '1', 2: '？？？', 3: '……', 4: '1'}
17	17		301							{2: '康德丽娜', 3: '是、是谁在这里……？', 4: '1'}
18	18		201							{1: '1', 2: '1031001', 3: '6'}
19	19		301							{1: '1', 2: '丽芙', 3: '！……这个声音是……', 4: '1'}
20	20		201							{1: '1', 2: '1021001'}
21	21		301							{1: '1', 2: '露西亚', 3: '我们是执行者灰鸦小队。', 4: '1'}
22	22		201							{1: '1', 2: '1031001', 3: '6'}
23	23		301							{1: '1', 2: '丽芙', 3: '你、你好……！', 4: '1'}
24	24		201							{1: '1', 2: '1011001'}
25	25		301							{1: '1', 2: '里', 3: '丽芙竟然主动上前了……？', 4: '1'}
26	26		201							{1: '1', 2: '500072'}
27	27		301							{1: '1', 2: '康德丽娜', 3: '你、你们好……', 4: '1'}
28	28		201							{1: '1', 2: '1011001'}
29	29		301							{1: '1', 2: '里', 3: '这个对话方式……指挥官，你有没有感受到某种频率性上的相似？', 4: '1'}
30	30		302							{2: '感受到了。', 3: '31', 4: '频率性上？', 5: '32'}
31	31	33	301							{2: '里', 3: '丽芙与康德丽娜……或许这就是在终端上运行的意识康德丽娜的歌声，只能被丽芙所捕获，而旁人听不到的原因吧。', 4: '1'}
32	32		301							{2: '里', 3: '丽芙与康德丽娜……我也说不准就是了。不过，这可能是在终端上运行的意识康德丽娜的歌声，只能被丽芙所捕获，而旁人听不到的原因。', 4: '1'}
33	33		201							{1: '1', 2: '1031001', 3: '6'}
34	34		301							{1: '1', 2: '丽芙', 3: '非常冒昧，我从刚刚开始听到了歌声，想必您就是声音的主人……', 4: '1'}
35	35		201							{1: '1', 2: '500072'}
36	36		301							{1: '1', 2: '康德丽娜', 3: '啊，失、失礼了！我的歌声一、一定非常不能入耳……真是、真是抱歉！', 4: '1'}
37	37		201							{1: '1', 2: '1031001', 3: '6'}
38	38		301							{1: '1', 2: '丽芙', 3: '不，不是这样的！您的歌声非常……非常美妙！我甚至因为沉迷于您的歌声，忘记了战斗的事情……', 4: '1'}
39	39		201							{1: '1', 2: '1011001'}
40	40		301							{1: '1', 2: '里', 3: '根据资料显示，意识原型：康德丽娜，是萌军成员之一，同时是一流的暗杀者。在记录上也确实有提及到她内向腼腆，喜好歌唱的一面……', 4: '1'}
41	41		302							{2: '看不出来呢……', 3: '42', 4: '反差……', 5: '43'}
42	42	44	301							{2: '里', 3: '好了，意识完整性检测通过，也没有检测到受帕弥什病毒感染的迹象。', 4: '1'}
43	43		301							{2: '里', 3: '……意识完整性检测已经通过，也没有检测到受帕弥什病毒感染的迹象。', 4: '1'}
44	44		201							{1: '1', 2: '1021001'}
45	45		301							{1: '1', 2: '露西亚', 3: '指挥官，我已经向康德丽娜解释了目前的情况，她也表示愿意协助我们，不过……', 4: '1'}
46	46		201							{1: '1', 2: '1031001', 3: '6'}
47	47		301							{1: '1', 2: '丽芙', 3: '指挥官，我请求康德丽娜在回收作业之前的最后时间，为我们献上她的歌声……', 4: '1'}
48	48		301							{2: '丽芙', 3: '康德丽娜的歌声非常……动听！可以、可以请您批准吗？', 4: '1'}
49	49		302							{2: '我明白了。', 3: '50', 4: '我批准。'}
50	50		204							{1: '1', 2: '1'}
51	51		301							{1: '1', 2: '丽芙', 3: '太好了！', 4: '1'}
52	52		201							{1: '1', 2: '500072'}
53	53		301							{1: '1', 2: '康德丽娜', 3: '…………………………', 4: '1'}
54	54		201							{1: '1', 2: '1011001', 3: '10'}
55	55		301							{1: '1', 2: '里', 3: '……我们还要在这里傻站多久？', 4: '1'}
56	56		201							{1: '1', 2: '1021001'}
57	57		301							{1: '1', 2: '露西亚', 3: '毕竟康德丽娜的歌声只有丽芙才能感知得到，但至少……', 4: '1'}
58	58		201							{1: '1', 2: '1031001', 3: '6'}
59	59		301							{1: '1', 2: '丽芙', 3: '……', 4: '1'}
60	60		302							{2: '难得丽芙这么喜欢。', 3: '61', 4: '再等等吧，里……', 5: '61'}
61	61		201							{1: '1', 2: '1011001', 3: '10'}
62	62		301		1		AniZhuanchangBegin			{1: '1', 2: '里', 3: '……没办法，我了解了。', 4: '1'}
