Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory79.jpg'}
2	2		401							{1: '1', 2: '205'}
3	3		201							{1: '1', 2: '500170'}
4	4		301			DialogEnable				{1: '1', 2: '西将军', 3: '呃呃呃呃，竟然打败了我这个西将军！', 4: '1'}
5	5		301			PanelActor1Shake				{2: '西将军', 3: '啊啊啊啊啊！', 4: '1'}
6	1001		202							{1: '1'}
7	6		301							{3: '实际上并没有交手，但这个西将军在露西亚通过试炼之后就用奇怪的动作表现出自己被打败的样子。'}
8	7		301							{3: '先是双手抱头，接着又是半跪在地上，最终伴随着痛苦呻吟的声音轰隆的一声倒在了地上。'}
9	1002		302							{2: '惟妙惟肖呢。', 3: '4000', 4: '也太夸张了吧。', 5: '4001'}
10	4000	8	201							{1: '1', 2: '500166'}
11	8	10	301							{1: '1', 2: '露西亚', 3: '的确很有那种恶人被打败之后的感觉，但最应该关注的是周围的状况，指挥官。', 4: '1'}
12	4001	9	201							{1: '1', 2: '500166'}
13	9	10	301							{1: '1', 2: '露西亚', 3: '一般来说应该会立刻倒下才对的，但最应该关注的是周围的状况，指挥官。', 4: '1'}
14	10		301				AniZhuanchangBegin			{3: '经过露西亚的提示以后才发现不仅是这个西将军，就连原本漂浮的侦察机也配合着倒下，周围的投影慢慢崩溃。'}
15	1003		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory84.jpg'}
16	1004		401							{1: '1', 2: '12'}
17	1005		202							{1: '1'}
18	11		301			AniZhuanchangEnd				{3: '——'}
19	1006		201							{1: '1', 2: '1031001', 3: '7', 4: '400'}
20	1007		201							{1: '2', 2: '500026', 4: '-400'}
21	12		301							{1: '1', 2: '丽芙', 3: '这个地方是……', 4: '1'}
22	13		301							{2: '里', 3: '就是区域本来的样子了吧，看上去应该是一个工厂来着。', 4: '2'}
23	1008		204							{1: '1', 2: '4'}
24	14		301							{3: '这么说着里便走到大屏幕附近，并且利用携带的黑盒打开了终端。'}
25	1009		302							{2: '你要查什么吗？', 3: '15', 4: '这样不太好吧？', 5: '16'}
26	15	19	301							{2: '里', 3: '就是关于这个工厂原本在进行什么而已，或许还能明白这么多机械体聚到一起的原因。', 4: '2'}
27	16	17	301							{2: '里', 3: '经过这件事之后总部一定会下达调查地区的任务，有所准备的话能节省很多时间。', 4: '2'}
28	17	18	301							{2: '丽芙', 3: '可是这个地方应该是工头他们在管理的……', 4: '1'}
29	18	19	301							{2: '里', 3: '我不打算探索他们的秘密，只要知道这个类似工厂一样的地方本来是什么就好了。', 4: '2'}
30	19		301							{3: '说完话以后里开始破解操控起了工厂的终端，很快，屏幕上调用显示了一些资料数据。'}
31	1010		203							{1: '1', 2: '0.25', 3: '600'}
32	1011		203							{1: '2', 2: '0.25', 3: '-600'}
33	1012		201							{1: '3', 2: '500166'}
34	20		301							{1: '1', 2: '露西亚', 3: '当时工厂的记录吗？', 4: '3'}
35	21		301							{2: '里', 3: '嗯，这家工厂貌似是一家流水线的包装工厂，从规模上看来大概是中等偏下的水平。', 4: '2'}
36	22		301							{2: '里', 3: '最值得注意的是这一段……停工通知。', 4: '2'}
37	23		301							{2: '里', 3: '在这个栏目下面有一段详细的说明，大概的描述就是因为帕弥什病毒的扩散，所有人类员工从即日开始撤离。', 4: '2'}
38	1013		302							{2: '在当时很平常。', 3: '24', 4: '只有人类？', 5: '25'}
39	24	4002	301							{2: '里', 3: '嗯，在当时看来这样的撤离到处都有，但重点是只撤离了人类……', 4: '2'}
40	25	4002	301							{2: '里', 3: '是的，为了减轻撤离压力、保障速度等原因，所以只有人类撤离了。', 4: '2'}
41	4002		204							{1: '1', 2: '14'}
42	26		301							{2: '丽芙', 3: '那工头他们……', 4: '1'}
43	27		301							{2: '里', 3: '没有确定的证据，但大概可以认为他们就是当时被留下的机械体。', 4: '2'}
44	28		301							{2: '里', 3: '虽然不知道他们是怎么在这种情况下躲避帕弥什的，但是他们一直幸存到了现在，然后按照当时工厂的排班表。', 4: '2'}
45	29		301							{2: '里', 3: '——定期聚在这里庆祝节日。', 4: '2'}
46	30		301							{2: '里', 3: '当然这些都是猜测，单纯是因为我发现了在日历上会特意标注上七夕，中元这样的节日。', 4: '2'}
47	31		301							{2: '丽芙', 3: '就算人类不在，工厂废弃……他们还是依照着聚集在这里行动吗。', 4: '1'}
48	32		301							{2: '里', 3: '服从命令对于很多机械来说都是写在底层的程序，他们这么做并没有什么不对的。', 4: '2'}
49	33		301							{2: '丽芙', 3: '……', 4: '1'}
50	34		301							{2: '里', 3: '能查到的情报大概也只有这些了，现在更重要的是最后一个试炼。', 4: '2'}
51	1014		302							{2: '出发吧。', 3: '35'}
52	35		301		1		AniZhuanchangBegin			{2: '露西亚', 3: '嗯。', 4: '3'}
