Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory21.jpg'}
2	2		401							{1: '1', 2: '208'}
3	3		201							{1: '1', 2: '1031001'}
4	4		301			DialogEnable				{1: '1', 2: '丽芙', 3: '按照过去人类的历法来算，现在已经快要到‘冬至’的时候了吧。', 4: '1'}
5	5		301							{2: '丽芙', 3: '所谓‘冬至’也就意味着秋天的结束、冬天的伊始，也是地球达到近日点附近、太阳直射南纬23.5°的时候。', 4: '1'}
6	6		301							{2: '丽芙', 3: '这一天将会是一年中白昼最短的一天——', 4: '1'}
7	7		301							{2: '丽芙', 3: '因此，过去的人类非常珍惜这一天的时光。', 4: '1'}
8	8		204							{1: '1', 2: '1'}
9	9		301							{2: '丽芙', 3: '但缘由绝不仅仅是冷冰冰的天文数据，而是更具有人情味的、更令人倍感温暖的文化渊源。', 4: '1'}
10	10		204							{1: '1'}
11	11		301							{2: '丽芙', 3: '名为‘圣诞节’的节日，据说原本是为了纪念一位宗教先哲的诞辰而设立。', 4: '1'}
12	12		301							{2: '丽芙', 3: '后来却逐渐演变成了人们辛苦工作一整年后，得以闲暇放松、解放自我的假日。', 4: '1'}
13	13		301							{2: '丽芙', 3: '据说，过去的人类会在前一天准备各种各样的装饰、食物、赠礼。', 4: '1'}
14	14		301							{2: '丽芙', 3: '零时更替，象征着和平、安详的被称为‘平安夜’的前夕成为历史，新的一年随之到来。', 4: '1'}
15	15		301							{2: '丽芙', 3: '过去的人类会久久地敲响钟声，在床上入眠，等待圣诞老人从烟囱里钻出来，悄悄放下礼物。', 4: '1'}
16	16		204							{1: '1', 2: '6'}
17	17		301							{2: '丽芙', 3: '……', 4: '1'}
18	18		301							{2: '丽芙', 3: '嗯，如果指挥官能收到我的礼物，一定会很开心吧。', 4: '1'}
19	19		204							{1: '1'}
20	20		301							{2: '丽芙', 3: '但是……有点难堪呢，把这样的东西当成是礼物送出去，真的好吗？指挥官会不会觉得我是个爱撒娇的孩子呢……', 4: '1'}
21	21		204							{1: '1', 2: '1'}
22	22		301				AniZhuanchangBegin			{2: '丽芙', 3: '如果能找到好的时机……像是只有两个人在的时候，一定要……！', 4: '1'}
23	23		202							{1: '1', 6: '1'}
24	24		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory14.png'}
25	1000		401							{1: '1', 2: '5'}
26	25		201							{1: '1', 2: '1011001', 4: '400'}
27	26		201							{1: '2', 2: '1021001', 4: '-400'}
28	27		301			AniZhuanchangEnd				{1: '1', 2: '露西亚', 3: '……丽芙她……总觉得担心……和那个有关吗……', 4: '2'}
29	28		301							{2: '里', 3: '……不能放任不管……到底什么事……必须解决……', 4: '1'}
30	29		301							{2: '露西亚', 3: '……可是指挥官……', 4: '2'}
31	30		301							{2: '里', 3: '……指挥官已经够忙了……我们的事不能再……', 4: '1'}
32	31		302							{2: '悄悄接近……', 3: '1001'}
33	1001		204							{1: '2', 2: '1'}
34	32		301							{2: '露西亚', 3: '咦！？指挥官？', 4: '2'}
35	33		302							{2: '我听到你们在谈论丽芙。', 3: '1002'}
36	1002		204							{1: '2'}
37	34		301							{2: '露西亚', 3: '您全都听见了吗？', 4: '2'}
38	35		301							{2: '露西亚', 3: '（叹了口气）看来没办法再隐瞒下去了。', 4: '2'}
39	36		301							{2: '露西亚', 3: '是这样的，指挥官。丽芙最近的状态……一定有什么心事。', 4: '2'}
40	37		301							{2: '露西亚', 3: '虽说还没有到影响意识海稳定性的程度，但我很担心她是否能正常完成任务。', 4: '2'}
41	38		204							{1: '1', 2: '10'}
42	39		301							{2: '里', 3: '说的也是，毕竟下一次任务的行动时间已经确定了啊。', 4: '1'}
43	40		204							{1: '1'}
44	41		301							{2: '露西亚', 3: '所以我一直在想有什么办法能让丽芙振作起来。', 4: '2'}
45	42		204							{1: '2', 2: '1'}
46	43		301							{2: '露西亚', 3: '不过指挥官最近都很忙，我原本只是和里商量看看，没想到让指挥官还要抽出时间来替我们担忧。', 4: '2'}
47	44		302							{2: '我们是一个团队。', 3: '45'}
48	45		204							{1: '2'}
