Id	Condition	RewardId	ReceiveDesc	SecondMainReceiveDesc
10000	[600009, 100811]	400560	触发【空中花园】的主线剧情	通关常规模式第1章第1关
11007	[601007, 100816]	400561	跟随任务解锁【多米尼克纪念公园】区域	通关常规模式第1章第6关
11009	[601009, 100818]	400562	跟随任务解锁【战术舰桥层】区域	通关常规模式第1章第8关
11012	[601012, 100820]	400563	完成【空中花园】的主线剧情	通关常规模式第1章第10关
211001	[621101]	400570	触发【唤心之日】剧情	
211003	[621103]	400571	探索【唤心之日】剧情	
211006	[621106]	400572	完成【唤心之日】剧情	
212001	[621201]	400570	触发【无形棘刺】剧情	
212003	[621203]	400571	探索【无形棘刺】剧情	
212005	[621205]	400572	完成【无形棘刺】剧情	
213001	[621301]	400570	触发【世界尽头】剧情	
213003	[621303]	400571	探索【世界尽头】剧情	
213004	[621304]	400572	完成【世界尽头】剧情	
231001	[623101]	400570	触发【记忆残响】剧情	
231002	[623102]	400571	探索【记忆残响】剧情	
231003	[623103]	400572	完成【记忆残响】剧情	
232001	[623201]	400570	触发【潮向】剧情	
232002	[623202]	400571	探索【潮向】剧情	
232004	[623204]	400572	完成【潮向】剧情	
20000	[602000, 100821]	400560	触发【荒弃废墟】的主线剧情	通关常规模式第2章第1关
21001	[602011, 100826]	400561	跟随任务解锁【B区商业园区遗址】区域	通关常规模式第2章第6关
21011	[602020, 100830]	400562	跟随任务解锁【C区废弃化工厂】区域	通关常规模式第2章第10关
21034	[602034, 100834]	400563	完成【荒弃废墟】的主线剧情	通关常规模式第2章第14关
221001	[622101]	400570	触发【血缘余音】剧情	
221003	[622102]	400572	完成【血缘余音】剧情	
222001	[622201]	400570	触发【无声自我】剧情	
222002	[622202]	400571	探索【无声自我】剧情	
222004	[622204]	400572	完成【无声自我】剧情	
30000	[603000, 100835]	400560	触发【城市地下空洞】的主线剧情	通关常规模式第3章第1关
31006	[603006, 100840]	400561	跟随任务解锁【B01连接长廊】区域	通关常规模式第3章第6关
31010	[603010, 100846]	400562	跟随任务解锁【核心区】区域	通关常规模式第3章第12关
31016	[603016, 100855]	400563	完成【城市地下空洞】的主线剧情	通关常规模式第3章第21关
40000	[604000, 100856]	400560	触发【聚噬体深渊】的主线剧情	通关常规模式第4章第1关
43011	[604011, 100865]	400561	跟随任务解锁【聚噬体左手】区域	通关常规模式第4章第10关
43012	[604012, 100867]	400562	跟随任务解锁【聚噬体身躯】区域	通关常规模式第4章第12关
43013	[604013, 100868]	400563	完成【聚噬体深渊】的主线剧情	通关常规模式第4章第13关
241001	[624101]	400570	触发【渎神】剧情	
241002	[624102]	400572	完成【渎神】剧情	
242001	[624201]	400570	触发【池鱼】剧情	
242002	[624202]	400572	完成【池鱼】剧情	
243001	[624301]	400570	触发【信仰赞歌】剧情	
243002	[624302]	400571	探索【信仰赞歌】剧情	
243003	[624303]	400572	完成【信仰赞歌】剧情	
244001	[624401]	400570	触发【锲】剧情	
244002	[624402]	400572	完成【锲】剧情	
