Id	PowerId	Lv	UpgradeCost	RewardType	RewardParam	RewardDesc
1	1		100			奖励描述0
2	1	1	150	[5]	['101']	解锁印象流派作品：《佩利阿斯与梅丽桑德》
3	1	2	200	[2]	['20']	解锁印象流派技能：《色块组合》
4	1	3	250	[3]	['2']	所有印象流派主能力初始品质提升
5	1	4	300	[2]	['26']	解锁印象流派技能：《主观描绘》
6	1	5	350	[2]	['22']	解锁印象流派技能：《瞬时印象》
7	1	6	400	[4]	['1']	所有印象流派主能力每次升级时的效果提升
8	1	7	450	[2]	['19']	解锁印象流派技能：《色彩感知》
9	1	8	500	[2]	['21']	解锁印象流派技能：《色块扩张》
10	1	9	550	[1]	['550018']	获得纽姆*200
11	1	10		[1]	['550019']	获得纽姆*200
12	2		100			奖励描述0
13	2	1	150	[5]	['102']	解锁民族流派作品：《伦巴第人》
14	2	2	200	[2]	['47']	解锁民族流派技能：《结构强化》
15	2	3	250	[3]	['2']	所有民族流派主能力初始品质提升
16	2	4	300	[2]	['52']	解锁民族流派技能：《形态普及》
17	2	5	350	[2]	['48']	解锁民族流派技能：《共同想象》
18	2	6	400	[4]	['1']	所有民族流派主能力每次升级时的效果提升
19	2	7	450	[2]	['45']	解锁民族流派技能：《统一意愿》
20	2	8	500	[2]	['49']	解锁民族流派技能：《自决意志》
21	2	9	550	[1]	['550020']	获得纽姆*200
22	2	10		[1]	['550021']	获得纽姆*200
23	3		100			奖励描述0
24	3	1	150	[5]	['103']	解锁真实流派作品：《蝴蝶夫人》
25	3	2	200	[2]	['72']	解锁真实流派技能：《朴实风韵》
26	3	3	250	[3]	['2']	所有真实流派主能力初始品质提升
27	3	4	300	[2]	['75']	解锁真实流派技能：《淳朴实质》
28	3	5	350	[2]	['73']	解锁真实流派技能：《本质触碰》
29	3	6	400	[4]	['1']	所有真实流派主能力每次升级时的效果翻倍
30	3	7	450	[2]	['71']	解锁真实流派技能：《崩溃写照》
31	3	8	500	[2]	['74']	解锁真实流派技能：《源于自然》
32	3	9	550	[1]	['550022']	获得纽姆*200
33	3	10		[1]	['550023']	获得纽姆*200
34	4		100			奖励描述0
35	4	1	150	[5]	['104']	解锁浪漫流派作品：《尼伯龙根的指环》
36	4	2	200	[2]	['99']	解锁浪漫流派技能：《历史描绘》
37	4	3	250	[3]	['2']	所有浪漫流派主能力初始品质提升
38	4	4	300	[2]	['98']	解锁浪漫流派技能：《启蒙反弹》
39	4	5	350	[2]	['103']	解锁浪漫流派技能：《华丽刻画》
40	4	6	400	[4]	['1']	所有浪漫流派主能力每次升级时的效果翻倍
41	4	7	450	[2]	['97']	解锁浪漫流派技能：《热情抒发》
42	4	8	500	[2]	['100']	解锁浪漫流派技能：《直觉想象》
43	4	9	550	[1]	['550024']	获得纽姆*200
44	4	10		[1]	['550025']	获得纽姆*200
45	5		100			奖励描述0
46	5	1	150	[5]	['105']	解锁表现流派作品：《莎乐美》
47	5	2	200	[2]	['125']	解锁表现流派技能：《罪恶揭露》
48	5	3	250	[3]	['2']	所有表现流派主能力初始品质提升
49	5	4	300	[2]	['124']	解锁表现流派技能：《荒诞展现》
50	5	5	350	[2]	['127']	解锁表现流派技能：《静默独白》
51	5	6	400	[4]	['1']	所有表现流派主能力每次升级时的效果翻倍
52	5	7	450	[2]	['123']	解锁表现流派技能：《摒弃刹那》
53	5	8	500	[2]	['126']	解锁表现流派技能：《现实变形》
54	5	9	550	[1]	['550026']	获得纽姆*200
55	5	10		[1]	['550027']	获得纽姆*200
56	6		100			奖励描述0
57	6	1	150	[5]	['106']	解锁古典流派作品：《唐·璜》
58	6	2	200	[2]	['151']	解锁古典流派技能：《规范标准》
59	6	3	250	[3]	['2']	所有古典流派主能力初始品质提升
60	6	4	300	[2]	['150']	解锁古典流派技能：《妥协吸收》
61	6	5	350	[2]	['152']	解锁古典流派技能：《纯挚蜕变》
62	6	6	400	[4]	['1']	所有古典流派主能力每次升级时的效果翻倍
63	6	7	450	[2]	['149']	解锁古典流派技能：《集权拥护》
64	6	8	500	[2]	['153']	解锁古典流派技能：《借古喻今》
65	6	9	550	[1]	['550028']	获得纽姆*200
66	6	10		[1]	['550029']	获得纽姆*200
67	7		100			奖励描述0
68	7	1	150	[5]	['107']	解锁巴洛克流派作品：《波佩阿的加冕》
69	7	2	200	[2]	['179']	解锁巴洛克流派技能：《空间强化》
70	7	3	250	[3]	['2']	所有巴洛克流派主能力初始品质提升
71	7	4	300	[2]	['176']	解锁巴洛克流派技能：《动魄效果》
72	7	5	350	[2]	['178']	解锁巴洛克流派技能：《激情过载》
73	7	6	400	[4]	['1']	所有巴洛克流派主能力每次升级时的效果翻倍
74	7	7	450	[2]	['175']	解锁巴洛克流派技能：《激情创造》
75	7	8	500	[2]	['177']	解锁巴洛克流派技能：《日常脱离》
76	7	9	550	[1]	['550030']	获得纽姆*200
77	7	10		[1]	['550031']	获得纽姆*200
