Id	Name	Description
11000	生命	提升基础生命值
12001	生命增益	生命值加成
11001	攻击	提升基础攻击力
11005	暴击	造成伤害时触发暴击的概率
11007	暴击伤害	造成伤害时触发暴击的伤害倍率
11010	护盾加成	护盾加成
11014	伤害加成	伤害加成
11029	技能增伤	常规技能伤害加成
11030	核心增伤	核心技能伤害加成
11031	普攻增伤	普通攻击伤害加成
11032	必杀增伤	必杀技能伤害加成
11067	伤害减免	受到的伤害降低
11072	攻击加深	提升造成的伤害
11077	伤害上限	提高角色伤害上限
11083	治疗效率增益	提升治疗能力
11084	失衡增益	提升对BOSS平衡值的削减能力
11096	仇恨专注	<color=#ffdd93>增加</color>自身造成伤害时的<color=#ffdd93>仇恨倍率</color>
13096	仇恨隐匿	<color=#ffdd93>降低</color>自身造成伤害时的<color=#ffdd93>仇恨倍率</color>
21001	初始必杀能量	进入战斗获得一定的<color=#ffdd93>必杀能量</color>。
21006	追击技能增伤	追击技能伤害加成
21007	连锁增伤	超链合击伤害加成
21008	燃血加成	自身<color=#ffdd93>剩余生命值</color>越少，提升的<color=#ffdd93>总伤害加成</color>越高
21009	愈疗强攻	<color=#ffdd93>治疗</color>其他玩家后的20秒内，自身<color=#ffdd93>额外伤害加成</color>提升。
21010	盾击强化	拥有<color=#ffdd93>护盾</color>及<color=#ffdd93>护盾消失</color>的3秒内，自身<color=#ffdd93>额外伤害加成</color>提升。
21011	援护减伤	处于<color=#ffdd93>支援复活其他玩家</color>状态下时，自身<color=#ffdd93>伤害减免</color>提升。
21012	暴伤增益	当攻击加深≥50%时<color=#ffdd93>暴击伤害</color>提升。
21013	绝对优势	生命值≥16000时<color=#ffdd93>暴击伤害</color>提升。
21014	暴怒特攻	对<color=#ffdd93>暴怒</color>状态下的敌人<color=#ffdd93>额外伤害</color>提升。
21015	失衡特化	对<color=#ffdd93>失衡</color>状态下的敌人<color=#ffdd93>额外伤害</color>提升。
21016	绝处逢生	濒死时触发<color=#ffdd93>自动重启</color>，<color=#ffdd93>冷却时间</color>过后可再次生效
21017	燃血强攻	自身<color=#ffdd93>攻击加深</color>提升，但最大生命值减少20%。
21018	乘胜追击	自身<color=#ffdd93>剩余生命值</color>越多，提升的<color=#ffdd93>总伤害加成</color>越高。
