Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory20.jpg'}
2	1000		401							{1: '1', 2: '201'}
3	2		301			DialogEnable				{3: '几分钟后，天空中一团巨大的火焰拖着长长的尾焰朝着尼科拉的位置坠落。'}
4	3		301							{3: '开始减速之后，能够看到栅格状的大型舱室主体，和侧面印有的生命之星医疗共同体的标志。'}
5	4		301							{3: '推进器朝着地面喷射出巨大的反推力时，地面堆积的废墟残骸因这力量而分崩离析。'}
6	5		301							{3: '复杂的支撑和形变结构提前动作，让整个舱体稳稳地落在空地中央。'}
7	6		201							{1: '1', 2: '500004'}
8	7		301							{1: '1', 2: '阿西莫夫', 3: '居然为了一个构造体，动用了一次全地形野战医院的空投部署……', 4: '1'}
9	8		203							{1: '1', 2: '0.25', 3: '400'}
10	9		201							{1: '2', 2: '500012', 4: '-400'}
11	10		301							{1: '1', 2: '尼科拉', 3: '毕竟情况紧急，而且是特殊情况，自然就需要这样的规格。', 4: '2'}
12	11		301							{2: '阿西莫夫', 3: '现在科学理事会，生命之星医疗共同体，都上了你这条船了。', 4: '1'}
13	12		301							{2: '尼科拉', 3: '法律问题不需要担心，议会那边我也自有交代。', 4: '2'}
14	13		301							{2: '阿西莫夫', 3: '因为哈桑议长和你的关系吗？', 4: '1'}
15	14		301							{2: '尼科拉', 3: '不，只是我比较擅长搞定这些……麻烦的工作。', 4: '2'}
16	15		301							{2: '尼科拉', 3: '总之我们各司其职吧，为了人类的未来，没什么好犹豫的——', 4: '2'}
17	16		301							{2: '尼科拉', 3: '马上开始进行远程手术吧。', 4: '2'}
18	17		301							{2: '阿西莫夫', 3: '……', 4: '1'}
19	18		301							{2: '阿西莫夫', 3: '先说好，即便是意识海技术，目前也只是能对人类意识进行模拟的程度。', 4: '1'}
20	19		301							{2: '阿西莫夫', 3: '要直接对意识进行操作，复杂程度可是比外科手术高了不知道几个单位的量级，你应该了解吧？', 4: '1'}
21	20		301							{2: '尼科拉', 3: '当然，否则也不会让整个空中花园唯一有这个技术的你来主导这场手术了。', 4: '2'}
22	21		301							{3: '………………'}
23	22		301							{2: '阿西莫夫', 3: '意识分析已经完成了，接下来是确定对记忆的处理方案……', 4: '1'}
24	23		301							{2: '尼科拉', 3: '不愧是空中花园新一代的骄傲。', 4: '2'}
25	24		301							{2: '阿西莫夫', 3: '我现在只想快点把这件事情结束……', 4: '1'}
26	25		301							{2: '尼科拉', 3: '那么我直接告诉你吧。', 4: '2'}
27	26		301							{2: '尼科拉', 3: '过去的那些经历，已经对她造成了不可磨灭的影响。', 4: '2'}
28	27		301							{2: '尼科拉', 3: '对自我，对人类，对一切的怀疑，都会影响她战斗的决心。', 4: '2'}
29	28		301							{2: '尼科拉', 3: '所以我需要她……保持对人类的忠诚。', 4: '2'}
30	29		301							{2: '阿西莫夫', 3: '简而言之，你希望抹除她的记忆……', 4: '1'}
31	30		301							{2: '尼科拉', 3: '如果有必要的话。', 4: '2'}
32	31		301							{2: '阿西莫夫', 3: '那么我要告诉你的是，她的意识中已经有相当一部分处于近似混沌的高熵状态，并且非常……执着。', 4: '1'}
33	32		301							{2: '阿西莫夫', 3: '就算我能进行处理，我们的通信条件也不足以支持传输如此高精度的操作。', 4: '1'}
34	33		301							{2: '阿西莫夫', 3: '如果直接进行粗暴的记忆剥离，我无法保证后果。', 4: '1'}
35	34		301							{2: '尼科拉', 3: '那么你的方案是？', 4: '2'}
36	35		301							{2: '阿西莫夫', 3: '我认为最好的方案是将这部分记忆以潜意识保存。', 4: '1'}
37	36		301							{2: '阿西莫夫', 3: '只要避免被主动唤醒，就能在保持人格框架完整的基础上，避免部分记忆所产生的影响。', 4: '1'}
38	37		301							{2: '阿西莫夫', 3: '不过……即便是这样尽可能保守的操作，也无法保证随着时间的推移，之后的人格会和原本的人格会产生多少偏差。', 4: '1'}
39	38		301							{2: '尼科拉', 3: '我只需要她的意志能够坚持到这场战争的胜利，至于偏差……', 4: '2'}
40	39		301							{2: '阿西莫夫', 3: '……', 4: '1'}
41	40		301							{2: '阿西莫夫', 3: '那么，我会对她的意识进行分支操作，留存一份备份。', 4: '1'}
42	41		301							{2: '尼科拉', 3: '等等，我记得你们有保持意识唯一性的原则吧？', 4: '2'}
43	42		301							{2: '阿西莫夫', 3: '对，但这是唯一的一个方法能够保证……', 4: '1'}
44	43		301							{2: '尼科拉', 3: '你……对保护构造体的意识这件事情好像有些特别的执着……', 4: '2'}
45	44		301							{2: '阿西莫夫', 3: '……', 4: '1'}
46	45		301							{2: '尼科拉', 3: '我以为你们做科学研究的，已经对这种事情司空见惯了。', 4: '2'}
47	46		301							{2: '尼科拉', 3: '哼，没想到平时摆出一副只把构造体当做研究对象的态度的你，也会有这样的恻隐之心。', 4: '2'}
48	47		301							{2: '阿西莫夫', 3: '你想多了，只是从科学研究的角度出发，需要保留一份她的主干人格作为对照罢了。', 4: '1'}
49	48		301							{2: '尼科拉', 3: '是吗……也罢，只要在事实上保证同时只有一个意识被激活就行。', 4: '2'}
50	49		301		1		AniZhuanchangBegin			{2: '尼科拉', 3: '那么，我选择相信专家给出专业建议——这样的说法，可以吗？', 4: '2'}
