Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory16.jpg'}
2	2		401							{1: '1', 2: '209'}
3	3		301			DialogEnable				{3: '除了器械运作的杂音外，时常保持绝对寂静的实验室里，意外地传来了几声轻轻的咳嗽声。'}
4	4		201							{1: '1', 2: '500111'}
5	5		301							{1: '1', 2: '艾伦', 3: '咳咳……', 4: '1'}
6	6		202							{1: '1', 6: '1'}
7	7		301							{3: '作为艺术协会的会长，艾伦很少来科学理事会一部的实验室，这里各种试剂和电子元件的浓烈味道超乎想象的刺鼻——很难想象长时间呆在这种地方的人到底是怎么忍受下来的。'}
8	8		301							{3: '但是很明显，至少眼前埋头盯着微型显示屏陷入沉思的阿西莫夫完全没有受到任何影响。'}
9	9		201							{1: '1', 2: '500111'}
10	10		301							{1: '1', 2: '艾伦', 3: '咳咳咳……', 4: '1'}
11	11		301							{3: '艾伦故意加大了咳嗽的声音，但是似乎仍然没有引起阿西莫夫的注意，这让他显得有点无可奈何了。'}
12	12		301							{3: '幸好在艾伦考虑怎么礼貌而又不至于尴尬地提醒阿西莫夫之前，阿西莫夫终于放下了手中的工具和设备，毫不意外地看着艾伦。'}
13	13		201							{1: '1', 2: '500004'}
14	14		301							{1: '1', 2: '阿西莫夫', 3: '艾伦，抱歉……久等了。', 4: '1'}
15	15		203							{1: '1', 2: '0.25', 3: '400'}
16	16		201							{1: '2', 2: '500111', 3: '1', 4: '-400'}
17	17		301							{1: '1', 2: '艾伦', 3: '其实也没等多久，但是好歹是你这边发起的委托，起码把约好的时间记清楚吧？', 4: '2'}
18	18		301							{2: '阿西莫夫', 3: '我也没想到是艺术协会的会长亲自找上门来啊……', 4: '1'}
19	19		301							{3: '艾伦笑了笑，优雅地坐在整个实验室看起来最干净的椅子上。'}
20	20		301							{2: '艾伦', 3: '毕竟是科学理事会一部直接委托的订单，这可是相当少见的，说实话我相当好奇——一向只注重实用性的科学理事会到底为什么会委托我们来设计这个所谓的‘随行支援单位’。', 4: '2'}
21	21		301							{3: '阿西莫夫挠了挠头，似乎一时之间有点难以说明。'}
22	22		204							{1: '2'}
23	23		301							{2: '艾伦', 3: '那这样吧，你可以先给我介绍一下这个‘随行支援单位’到底是什么，说实话，你们科研人员写的委托书实在是过于晦涩。', 4: '2'}
24	24		301							{3: '看到艾伦拿出委托书扬了扬放在桌面上，阿西莫夫点了点头，划动手臂展开了一个全息战术沙盘，上面显示的正是地面作战部队的情况。'}
25	25		301							{2: '阿西莫夫', 3: '嗯……你应该知道，现在随着执行部队的活跃，地面反击作战已经取得了不错的成果，轻度感染区域很多都已经建立了保育区，战线也在渐渐向着污染更严重的地区推进。', 4: '1'}
26	26		301							{2: '艾伦', 3: '我知道，作为议会议员，对于执行部队的行动我多多少少都有关注。', 4: '2'}
27	27		301							{2: '阿西莫夫', 3: '那就好说明得多了……因为战线的推进，执行部队需要深入高浓度帕弥什地区的情况变得越来越多。', 4: '1'}
28	28		301							{3: '阿西莫夫指了指战术沙盘上颜色越来越深的区域，显然，上面的颜色区分的是地面的帕弥什感染程度。'}
29	29		301							{2: '艾伦', 3: '毕竟我们没有任何清理帕弥什的手段，只能强行深入各种各样情况未知的感染区。', 4: '2'}
30	30		301							{2: '阿西莫夫', 3: '是的，在帕弥什浓度越来越高的地区里活动，负担最大的不是实际作战的构造体队员，反而是提供思维信标稳定队员意识海的指挥官。', 4: '1'}
31	31		301							{2: '艾伦', 3: '我也看过相关的报告，虽然还不至于像‘重灾区’那样基本无法进入，但是也确实发现有一些地区的病毒浓度明显比正常水平更高。', 4: '2'}
32	32		301							{2: '阿西莫夫', 3: '事实上，有不少指挥官甚至没办法跟随构造体队员进入高浓度区域作战，这大大增加了持续作战的难度和风险。', 4: '1'}
33	33		301							{2: '艾伦', 3: '现在你们找到解决的方法……就是这个‘随行支援单位’吗？', 4: '2'}
34	34		301							{3: '阿西莫夫点了点头，再次切换全息投影的内容，呈现出的是随行支援单位的设计方案。'}
35	35		301							{2: '阿西莫夫', 3: '随行支援单位的开发目的，是为了辅助构造体的意识海稳定，减轻逆元装置对指挥官的负担。', 4: '1'}
36	36		301							{2: '阿西莫夫', 3: '构造体需要维持自身是人类的认知才能稳定意识海，而‘人类的认知’却是科学所难以判明的领域。', 4: '1'}
37	37		301							{2: '阿西莫夫', 3: '因此，有部分研究人员认为整体设计上应该尽可能强调作为随从和伙伴的感觉，像过去陪伴人类的‘宠物’一般，因此希望外观设计有类似‘生物’的感觉。', 4: '1'}
38	38		301							{3: '阿西莫夫展示了几个研究人员自己设计的外形——确实是有点一言难尽。'}
39	39		301							{2: '阿西莫夫', 3: '也接近东方历新年的时间了，科学理事会也有比较多的杂务需要处理。', 4: '1'}
40	40		301							{2: '艾伦', 3: '原来如此……因此才委托了艺术协会来进行设计。', 4: '2'}
41	41		301							{2: '艾伦', 3: '不过真是想不到，科学理事会居然会承认存在着科学所解释不了的存在。', 4: '2'}
42	42		301							{3: '阿西莫夫关闭了全息投影，重新靠在了椅子上，若有所思地看着眼前数据不断跳动的微型显示屏。'}
43	43		301							{2: '阿西莫夫', 3: '无论是构造体还是意识海技术，都还有很大的技术空洞存在，现今很多成果只是无数试错的积累。', 4: '1'}
44	44		301							{2: '阿西莫夫', 3: '我们能够做的……只是让这些经验和牺牲，能够确实地转化成空中花园所需要的力量。', 4: '1'}
45	45		301							{3: '艾伦点了点头，重新拿起了委托书。'}
46	46		301							{2: '艾伦', 3: '我明白了，这个‘随行支援单位’请交给我们艺术协会来设计制作吧。', 4: '2'}
47	47		301							{2: '艾伦', 3: '既然是临近东方历的新年，我建议试作型号可以以生肖的概念来设计，加入了固定概念的‘随行支援单位’应该更加能起到增强人类认知的作用。', 4: '2'}
48	48		301							{2: '阿西莫夫', 3: '已经有设计思路的话自然更好，那么你们预计需要多长时间，实话说，因为还需要预留时间来进行测试，所以……', 4: '1'}
49	49		301							{2: '艾伦', 3: '三天，第一批的初期型号随行支援单位试作机体在三天内就可以给到科学理事会。', 4: '2'}
50	50		301							{2: '阿西莫夫', 3: '三天？而且是制作完成的机体……你不是在开玩笑吧？', 4: '1'}
51	51		301							{3: '阿西莫夫不可思议地看着艾伦，但是他似乎并没有在开玩笑的意思。'}
52	52		301							{2: '艾伦', 3: '你忘了吗，艺术协会除了有最优秀的艺术家之外，还有极其出色的技术人员存在。', 4: '2'}
53	53		301							{3: '阿西莫夫用笔在桌面上敲了敲，似乎想起了什么。'}
54	54		301							{2: '阿西莫夫', 3: '哦，是蕾奥妮吗……如果是她来负责制作的话那我确实没什么好担心的了。', 4: '1'}
55	55		301							{3: '得到了阿西莫夫肯定的回答之后，艾伦从椅子上站起来准备离开。'}
56	56		301							{2: '阿西莫夫', 3: '那么就拜托你们了，还有……嗯……', 4: '1'}
57	57		301							{3: '阿西莫夫顿了顿，似乎还有些犹豫，但最后还是接着往下说。'}
58	58		301							{2: '阿西莫夫', 3: '……新年快乐。', 4: '1'}
59	59		301							{3: '艾伦笑着点了点头，将委托书仔细地收放好。'}
60	60		204							{1: '2', 2: '1'}
61	61		301		1		AniZhuanchangBegin			{2: '艾伦', 3: '阿西莫夫你也是，新年快乐。', 4: '2'}
